chapter,figure_file,maple_script,script_path,confidence,match_method
cont1d,cont1d_ferro_field_hysteresis_T_1_0,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,prefix
cont1d,cont1d_ferro_field_hysdata_T_1_0,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,convention
cont1d,cont1d_ferro_field_hysteresis_T_0_75,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,prefix
cont1d,cont1d_ferro_field_hysdata_T_0_75,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,convention
cont1d,cont1d_ferro_field_hysteresis_T_0_5,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,prefix
cont1d,cont1d_ferro_field_hysdata_T_0_5,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,convention
cont1d,cont1d_ferro_field_hysteresis_3d,cont1d_ferro_field_hysteresis_3d.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis_3d.mw,high,exact-name
cont1d,cont1d_ferro_field_hysteresis_zoom,cont1d_ferro_field_hysteresis.mw,Figs_cont1d/creators/cont1d_ferro_field_hysteresis.mw,medium,prefix
cont1d,cont1d_ferro_spin_T_0_50_a0,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_b0,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_a0,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_b0,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_a1,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_b1,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_a1,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_b1,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_a2,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_b2,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_a2,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_b2,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_a3,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_b3,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_a3,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_b3,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_a4,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_b4,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_a4,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_b4,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_a5,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50_b5,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_a5,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50_b5,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_0_50,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_ferro_spin_T_1_50,cont1d_FerroSpins.mw,Figs_cont1d/creators/cont1d_FerroSpins.mw,medium,convention
cont1d,cont1d_climate_single_fp,cont1d_climate_single_fp.mw,Figs_cont1d/creators/cont1d_climate_single_fp.mw,high,exact-name
cont1d,cont1d_climate_multiple_fp,cont1d_climate_single_fp.mw,Figs_cont1d/creators/cont1d_climate_single_fp.mw,medium,convention
cont2d,cont2d_LV_time,cont2d_LV.mws,Figs_cont2d/creators/cont2d_LV.mws,high,content(multi:cont2d_LV.mws;cont2d_LV2.mws;cont2d_LV3.mws;cont2d_LV4.mws;cont2d_LV5.mws;cont2d_LV6.mws;cont2d_LV7.mws)
cont2d,cont2d_phasespace,(no maple script found - likely hand-drawn schematic),,n/a,manual
cont2d,cont2d_LV_phase,cont2d_LV.mws,Figs_cont2d/creators/cont2d_LV.mws,high,content(multi:cont2d_LV.mws;cont2d_LV2.mws;cont2d_LV3.mws;cont2d_LV4.mws;cont2d_LV5.mws;cont2d_LV6.mws;cont2d_LV7.mws)
cont2d,cont2d_phase_r1,(no maple script found - likely hand-drawn schematic),,n/a,manual
cont2d,cont2d_phase_r2,(no maple script found - likely hand-drawn schematic),,n/a,manual
cont2d,cont2d_phase_r3,(no maple script found - likely hand-drawn schematic),,n/a,manual
cont2d,cont2d_phase_i1,(no maple script found - likely hand-drawn schematic),,n/a,manual
cont2d,cont2d_phase_i2,(no maple script found - likely hand-drawn schematic),,n/a,manual
cont2d,cont2d_phase_i3,(no maple script found - likely hand-drawn schematic),,n/a,manual
cont2d,cont2d_classification,(no maple script found - likely hand-drawn schematic),,n/a,manual
cont2d,cont2d_zoo,(review - no maple script found),,REVIEW,review
cont2d,cont2d_LV_E,cont2d_LV6.mws,Figs_cont2d/creators/cont2d_LV6.mws,high,content(multi:cont2d_LV6.mws;cont2d_LV7.mws)
cont2d,cont2d_gradient_ell1,cont2d_gradient2.mws,Figs_cont2d/creators/cont2d_gradient2.mws,high,content(multi:cont2d_gradient2.mws;cont2d_gradient3.mws)
cont2d,cont2d_gradient_ell2,cont2d_gradient2.mws,Figs_cont2d/creators/cont2d_gradient2.mws,high,content(multi:cont2d_gradient2.mws;cont2d_gradient3.mws)
cont2d,cont2d_gradient_hyp1,cont2d_gradient2.mws,Figs_cont2d/creators/cont2d_gradient2.mws,high,content(multi:cont2d_gradient2.mws;cont2d_gradient3.mws)
cont2d,cont2d_gradient_hyp2,cont2d_gradient2.mws,Figs_cont2d/creators/cont2d_gradient2.mws,high,content(multi:cont2d_gradient2.mws;cont2d_gradient3.mws)
cont2d,cont2d_conservative_E,cont2d_conservative.mws,Figs_cont2d/creators/cont2d_conservative.mws,high,content(multi:cont2d_conservative.mws;cont2d_conservative2.mws)
cont2d,cont2d_Limit_time,cont2d_Limit2.mws,Figs_cont2d/creators/cont2d_Limit2.mws,high,content
cont2d,cont2d_Limit_phase,cont2d_Limit.mws,Figs_cont2d/creators/cont2d_Limit.mws,high,content(multi:cont2d_Limit.mws;cont2d_Limit2.mws)
cont2d,cont2d_vdPol_phase,cont2d_vdPol.mws,Figs_cont2d/creators/cont2d_vdPol.mws,high,content(multi:cont2d_vdPol.mws;cont2d_vdPol2.mws)
cont2d,cont2d_pitchfork_phase1,cont2d_pitchfork5.mws,Figs_cont2d/creators/cont2d_pitchfork5.mws,high,content(multi:cont2d_pitchfork5.mws;cont2d_pitchfork6.mws)
cont2d,cont2d_pitchfork_phase2,cont2d_pitchfork5.mws,Figs_cont2d/creators/cont2d_pitchfork5.mws,high,content(multi:cont2d_pitchfork5.mws;cont2d_pitchfork6.mws)
cont2d,cont2d_pitchfork_fixed,cont2d_pitchfork.mw,Figs_cont2d/creators/cont2d_pitchfork.mw,high,content(multi:cont2d_pitchfork.mw;cont2d_pitchfork.mws;cont2d_pitchfork2.mws;cont2d_pitchfork3.mws;cont2d_pitchfork4.mws;cont2d_pitchfork5.mws;cont2d_pitchfork6.mws)
